"","airport1","airport2","airline","cnt"
"691","DEN","BNA","UA",17.8181818181818
"692","DEN","FAT","UA",17.5
"693","FAT","DEN","UA",17.5
"694","EWR","PWM","UA",16.9
"695","PWM","EWR","UA",16.9
"696","ABQ","IAH","UA",16.6666666666667
"697","IAD","CHS","UA",16.6666666666667
"698","IAH","PIT","UA",16.5
"699","PIT","IAH","UA",16.5
"700","CHS","IAD","UA",16.3333333333333
"701","ORD","ABQ","UA",16.1111111111111
"702","OGG","ORD","UA",16.0833333333333
"703","ORD","OGG","UA",16.0833333333333
"704","ABQ","ORD","UA",16
"705","MEM","ORD","UA",15.7777777777778
"706","ORD","MEM","UA",15.6666666666667
"707","MSP","IAH","UA",15.5714285714286
"708","BOI","SFO","UA",15.5
"709","SFO","BOI","UA",15.5
"710","IAH","MSP","UA",15.2857142857143
"711","EGE","IAD","UA",15
"712","IAD","EGE","UA",15
"713","PIT","IAD","UA",15
"714","OMA","SFO","UA",14.8333333333333
"715","IAD","PIT","UA",14.8
"716","CLT","IAH","UA",14.75
"717","SFO","OMA","UA",14.6666666666667
"718","SBA","SFO","UA",14.5
"719","DEN","FAI","UA",14.3333333333333
"720","DEN","MEM","UA",14.3333333333333
"721","FAI","DEN","UA",14.3333333333333
"722","IAH","DTW","UA",14.3333333333333
"723","IAD","HIK","UA",14.25
"724","IAD","HNL","UA",14.25
"725","PHX","LAX","UA",14.25
"726","LAX","SEA","UA",14.2222222222222
"727","SEA","LAX","UA",14.2222222222222
"728","IAH","STT","UA",14.1666666666667
"729","STT","IAH","UA",14.1666666666667
"730","IAH","ABQ","UA",14
"731","CRP","IAH","UA",13.5
"732","CVG","IAH","UA",13.5
"733","IAH","CRP","UA",13.5
"734","SFO","SLC","UA",13.1666666666667
"735","DEN","RAP","UA",13
"736","MCI","SFO","UA",12.875
"737","LAX","PHX","UA",12.5555555555556
"738","MEM","DEN","UA",12.4285714285714
"739","IAH","ICT","UA",12
"740","ICT","IAH","UA",12
"741","RAP","DEN","UA",12
"742","SFO","MCI","UA",11.6666666666667
"743","SFO","SBA","UA",11.6
"744","IAH","CVG","UA",11.5714285714286
"745","ELP","IAH","UA",11.2
"746","IAH","ELP","UA",11.2
"747","FAI","SFO","UA",10.6666666666667
"748","SFO","FAI","UA",10.6666666666667
"749","SFO","SMF","UA",10.25
"750","ATL","IAH","UA",10.1428571428571
"751","LAX","SAN","UA",9.4
"752","SMF","SFO","UA",9.33333333333333
"753","IAH","ORF","UA",9
"754","ORF","IAH","UA",9
"755","SDF","EWR","UA",9
"756","IAH","OKC","UA",8.66666666666667
"757","OKC","IAH","UA",8.55555555555556
"758","IAH","ATL","UA",8.25
"759","AUS","LAX","UA",8
"760","BSM","LAX","UA",8
"761","CMH","IAD","UA",8
"762","DSM","IAH","UA",8
"763","ORD","SDF","UA",8
"764","SAN","LAX","UA",8
"765","IAD","CMH","UA",7.75
"766","IND","IAD","UA",7.6
"767","IAH","JAC","UA",7.57142857142857
"768","JAC","IAH","UA",7.57142857142857
"769","IAH","DSM","UA",7.5
"770","BTV","DEN","UA",7.33333333333333
"771","DEN","BTV","UA",7.33333333333333
"772","DEN","PWM","UA",7.33333333333333
"773","PWM","DEN","UA",7.33333333333333
"774","CHS","IAH","UA",7.16666666666667
"775","IAH","CHS","UA",7.16666666666667
"776","EWR","SDF","UA",7
"777","EWR","DTW","UA",6.6
"778","IAD","IND","UA",6.33333333333333
"779","DEN","SDF","UA",6
"780","EWR","HDN","UA",6
"781","HDN","EWR","UA",6
"782","SDF","DEN","UA",6
"783","SDF","ORD","UA",6
"784","GUC","IAH","UA",5.66666666666667
"785","IAH","GUC","UA",5.66666666666667
"786","CID","ORD","UA",5.2
"787","ATL","LAX","UA",5
"788","ORD","CID","UA",5
"789","SAT","SFO","UA",5
"790","IND","ORD","UA",4.8
"791","CHS","DEN","UA",4.5
"792","ORD","IND","UA",4.5
"793","LAX","AUS","UA",4.33333333333333
"794","LAX","BSM","UA",4.33333333333333
"795","ORD","STT","UA",4.33333333333333
"796","STT","ORD","UA",4.33333333333333
"797","DEN","PBI","UA",4
"798","DEN","SRQ","UA",4
"799","IAH","SDF","UA",4
"800","LAS","SJC","UA",4
"801","ORD","BGR","UA",4
"802","PBI","DEN","UA",4
"803","SDF","IAH","UA",4
"804","SFO","SAT","UA",4
"805","SJC","LAS","UA",4
"806","SRQ","DEN","UA",4
"807","BGR","ORD","UA",3.75
"808","HDN","IAD","UA",3.75
"809","IAD","HDN","UA",3.75
"810","ORD","PNS","UA",3.66666666666667
"811","ORD","TVC","UA",3.66666666666667
"812","PNS","ORD","UA",3.66666666666667
"813","TVC","ORD","UA",3.66666666666667
"814","LAX","SMF","UA",3.5
"815","OMA","EWR","UA",3.5
"816","DEN","CHS","UA",3.33333333333333
"817","ATL","BOS","UA",3
"818","BOI","ORD","UA",3
"819","DTW","EWR","UA",3
"820","EWR","MEM","UA",3
"821","EWR","MKE","UA",3
"822","GRB","ORD","UA",3
"823","IAD","SDF","UA",3
"824","LAX","ATL","UA",3
"825","MEM","EWR","UA",3
"826","ORD","BOI","UA",3
"827","PVD","ORD","UA",3
"828","SDF","IAD","UA",3
"829","SDF","SFO","UA",3
"830","SFO","SDF","UA",3
"831","EWR","OMA","UA",2.66666666666667
"832","LAX","DFW","UA",2.66666666666667
"833","SMF","LAX","UA",2.66666666666667
"834","CMH","IAH","UA",2.5
"835","DFW","LAX","UA",2.5
"836","EWR","IND","UA",2.5
"837","IAH","CMH","UA",2.5
"838","ORD","GRB","UA",2.5
"839","ORD","PVD","UA",2.5
"840","STL","DEN","UA",2.5
"841","DEN","CLT","UA",2.4
"842","ABQ","LAX","UA",2
"843","AUS","BTR","UA",2
"844","AUS","LAS","UA",2
"845","BHM","SFO","UA",2
"846","BOS","LAS","UA",2
"847","BSM","BTR","UA",2
"848","BSM","LAS","UA",2
"849","CVG","IAD","UA",2
"850","EUG","LAX","UA",2
"851","EWR","BGR","UA",2
"852","EWR","CVG","UA",2
"853","EWR","MSN","UA",2
"854","EWR","OKC","UA",2
"855","GEG","SFO","UA",2
"856","IAD","CLT","UA",2
"857","IAD","CVG","UA",2
"858","IAD","MSN","UA",2
"859","IAH","MSN","UA",2
"860","IND","EWR","UA",2
"861","LAS","BOS","UA",2
"862","LAS","PHX","UA",2
"863","LAS","SEA","UA",2
"864","LAX","ABQ","UA",2
"865","LAX","EUG","UA",2
"866","LAX","SDF","UA",2
"867","MKE","EWR","UA",2
"868","MSN","EWR","UA",2
"869","MSN","IAD","UA",2
"870","MSN","IAH","UA",2
"871","OKC","EWR","UA",2
"872","PHX","LAS","UA",2
"873","SDF","LAX","UA",2
"874","SEA","LAS","UA",2
"875","SFO","BHM","UA",2
"876","SFO","GEG","UA",2
"877","IND","IAH","UA",1.75
"878","CLT","IAD","UA",1.66666666666667
"879","MSP","EWR","UA",1.66666666666667
"880","IAH","BHM","UA",1.6
"881","IAH","IND","UA",1.6
"882","BGR","EWR","UA",1.5
"883","EWR","DCA","UA",1.5
"884","ICT","ORD","UA",1.5
"885","LAX","RNO","UA",1.5
"886","LAX","SAT","UA",1.5
"887","ORD","ICT","UA",1.5
"888","RNO","LAX","UA",1.5
"889","SFO","ABQ","UA",1.5
"890","BHM","IAH","UA",1.4
"891","DCA","EWR","UA",1.33333333333333
"892","SAT","LAX","UA",1.33333333333333
"893","CVG","EWR","UA",1.25
"894","EWR","MSP","UA",1.25
"895","ABQ","SFO","UA",1.2
"896","BHM","CLL","UA",1
"897","BHM","DEN","UA",1
"898","BHM","ORD","UA",1
"899","BOI","IAH","UA",1
"900","BOS","ATL","UA",1
"901","BTR","AUS","UA",1
"902","BTR","BSM","UA",1
"903","BTR","DCA","UA",1
"904","BTR","IAH","UA",1
"905","CLL","BHM","UA",1
"906","CLL","IAH","UA",1
"907","CMH","MSN","UA",1
"908","DCA","BTR","UA",1
"909","DEN","BHM","UA",1
"910","DEN","ELP","UA",1
"911","DFW","EUG","UA",1
"912","DTW","IAD","UA",1
"913","ELP","DEN","UA",1
"914","ELP","ORD","UA",1
"915","EUG","DFW","UA",1
"916","EWR","CMH","UA",1
"917","EWR","GRR","UA",1
"918","EWR","PVD","UA",1
"919","EWR","RIC","UA",1
"920","EWR","SYR","UA",1
"921","FLL","LAS","UA",1
"922","FSD","ORD","UA",1
"923","GRR","EWR","UA",1
"924","GSP","IAD","UA",1
"925","GSP","SFO","UA",1
"926","HDN","ORD","UA",1
"927","IAD","DTW","UA",1
"928","IAD","GSP","UA",1
"929","IAD","RIC","UA",1
"930","IAD","SRQ","UA",1
"931","IAH","BTR","UA",1
"932","IAH","CLL","UA",1
"933","IAH","ONT","UA",1
"934","IAH","PNS","UA",1
"935","IAH","RIC","UA",1
"936","IAH","RNO","UA",1
"937","IAH","SAV","UA",1
"938","JAC","SFO","UA",1
"939","LAS","AUS","UA",1
"940","LAS","BSM","UA",1
"941","LAS","FLL","UA",1
"942","LAS","PIT","UA",1
"943","LAS","RDU","UA",1
"944","LAS","SMF","UA",1
"945","LAX","MSN","UA",1
"946","LAX","SBN","UA",1
"947","LGA","MTJ","UA",1
"948","MSN","CMH","UA",1
"949","MSN","LAX","UA",1
"950","MSN","SFO","UA",1
"951","MTJ","LGA","UA",1
"952","ONT","IAH","UA",1
"953","ORD","BHM","UA",1
"954","ORD","FSD","UA",1
"955","ORD","HDN","UA",1
"956","ORD","SBN","UA",1
"957","ORD","TUL","UA",1
"958","ORF","EWR","UA",1
"959","PIT","LAS","UA",1
"960","PNS","IAH","UA",1
"961","PVD","EWR","UA",1
"962","RDU","LAS","UA",1
"963","RIC","IAD","UA",1
"964","RIC","IAH","UA",1
"965","RNO","EWR","UA",1
"966","RNO","IAH","UA",1
"967","SAV","IAD","UA",1
"968","SAV","IAH","UA",1
"969","SBN","LAX","UA",1
"970","SBN","ORD","UA",1
"971","SFO","GRB","UA",1
"972","SFO","GSP","UA",1
"973","SFO","JAC","UA",1
"974","SFO","MSN","UA",1
"975","SMF","LAS","UA",1
"976","SRQ","IAD","UA",1
"977","SYR","EWR","UA",1
"978","TUL","ORD","UA",1
