"","airport1","airport2","airline","cnt"
"160","RSW","EWR","UA",115.166666666667
"161","BOS","IAD","UA",114.583333333333
"162","IAD","BOS","UA",114.416666666667
"163","DFW","EWR","UA",113
"164","IAD","EWR","UA",112.916666666667
"165","EWR","DFW","UA",112.833333333333
"166","SNA","IAH","UA",112.5
"167","IAH","SNA","UA",112.333333333333
"168","MIA","IAH","UA",110.25
"169","IAH","MIA","UA",109.916666666667
"170","DEN","MCO","UA",109.083333333333
"171","MCO","DEN","UA",108.75
"172","IAH","DCA","UA",107.5
"173","ORD","TPA","UA",105.083333333333
"174","TPA","ORD","UA",104.916666666667
"175","SFO","AUS","UA",104.25
"176","SFO","BSM","UA",104.25
"177","PHX","SFO","UA",103.916666666667
"178","SFO","PHX","UA",103.916666666667
"179","MSY","EWR","UA",103.25
"180","EWR","MSY","UA",103.083333333333
"181","DEN","MSP","UA",102.416666666667
"182","MSP","DEN","UA",101.916666666667
"183","EWR","AUS","UA",101.25
"184","EWR","BSM","UA",101.25
"185","ORD","PDX","UA",97.25
"186","PDX","ORD","UA",97.0833333333333
"187","BWI","ORD","UA",94.4166666666667
"188","ORD","BWI","UA",94.3333333333333
"189","EWR","PHX","UA",92.1666666666667
"190","PHX","EWR","UA",92.1666666666667
"191","CLE","DEN","UA",91.9166666666667
"192","EWR","IAD","UA",91.1666666666667
"193","ORD","AUS","UA",91
"194","ORD","BSM","UA",91
"195","IAD","TPA","UA",90.5833333333333
"196","TPA","IAD","UA",90.5833333333333
"197","EWR","SEA","UA",90.5
"198","DEN","DFW","UA",90.3333333333333
"199","SEA","EWR","UA",90.1666666666667
"200","EWR","SAN","UA",89.3333333333333
"201","DEN","SMF","UA",89.1666666666667
"202","SAN","EWR","UA",89.1666666666667
"203","SMF","DEN","UA",89
"204","DEN","CLE","UA",88.6666666666667
"205","EWR","BNA","UA",88.5
"206","SEA","IAD","UA",88.1666666666667
"207","IAD","SEA","UA",88.0833333333333
"208","ORD","RSW","UA",87.5833333333333
"209","RSW","ORD","UA",87.5833333333333
"210","BNA","EWR","UA",86.5
"211","ORD","SNA","UA",85.25
"212","SNA","ORD","UA",85.25
"213","IAD","SAN","UA",85.1666666666667
"214","SAN","IAD","UA",85.1666666666667
"215","DFW","DEN","UA",85.0833333333333
"216","ORD","FLL","UA",84.75
"217","KOA","SFO","UA",84.6666666666667
"218","SFO","KOA","UA",84.6666666666667
"219","EWR","SNA","UA",84.5
"220","SNA","EWR","UA",84.5
"221","FLL","ORD","UA",84.25
"222","EWR","RDU","UA",83
"223","MCO","SFO","UA",82.1666666666667
"224","SFO","MCO","UA",82.0833333333333
"225","DEN","SJC","UA",81.3333333333333
"226","SJC","DEN","UA",81.3333333333333
"227","RDU","EWR","UA",79.75
"228","ORD","PIT","UA",79
"229","PIT","ORD","UA",78.9166666666667
"230","ORD","MSY","UA",78.6666666666667
"231","BDL","ORD","UA",78.0833333333333
